epoch, batch, loss, loss_f, f_mae, f_rmse
   19,     3,         0.012306,         0.012306,         0.041054,         0.052745
   19,     4,          0.06115,          0.06115,         0.080611,          0.11758
   19,     5,          0.30205,          0.30205,           0.1817,          0.26132
   20,     1,         0.012601,         0.012601,         0.040887,         0.053374
   20,     2,          0.25337,          0.25337,          0.17137,          0.23934
   20,     3,         0.029075,         0.029075,         0.051084,         0.081076
   20,     4,          0.29491,          0.29491,          0.18978,          0.25821
   20,     5,         0.081586,         0.081586,          0.09193,          0.13581
   21,     1,           0.2896,           0.2896,            0.186,          0.25588
   21,     2,          0.16951,          0.16951,          0.14493,          0.19576
   21,     3,         0.018402,         0.018402,          0.04715,         0.064501
   21,     4,         0.043965,         0.043965,          0.06176,         0.099698
   21,     5,         0.086989,         0.086989,          0.10043,          0.14024
   22,     1,         0.082005,         0.082005,         0.097471,          0.13616
   22,     2,         0.019932,         0.019932,         0.045412,         0.067129
   22,     3,          0.20684,          0.20684,          0.15187,          0.21625
   22,     4,          0.22411,          0.22411,          0.16758,          0.22509
   22,     5,         0.018262,         0.018262,         0.045233,         0.064256
   23,     1,          0.20037,          0.20037,          0.14916,          0.21284
   23,     2,         0.014565,         0.014565,         0.038767,         0.057384
   23,     3,         0.053733,         0.053733,         0.078657,          0.11022
   23,     4,          0.24096,          0.24096,          0.17399,           0.2334
   23,     5,         0.014127,         0.014127,         0.038836,         0.056513
   24,     1,          0.22408,          0.22408,          0.16851,          0.22508
   24,     2,          0.15984,          0.15984,          0.13667,           0.1901
   24,     3,         0.022634,         0.022634,         0.053036,         0.071534
   24,     4,         0.020059,         0.020059,         0.051645,         0.067342
   24,     5,         0.051328,         0.051328,         0.082631,          0.10772
   25,     1,          0.18569,          0.18569,          0.15655,          0.20489
   25,     2,          0.16454,          0.16454,          0.14025,          0.19287
   25,     3,         0.046482,         0.046482,         0.078553,          0.10251
   25,     4,         0.022232,         0.022232,         0.052072,         0.070895
   25,     5,         0.016999,         0.016999,         0.044151,         0.061992
   26,     1,         0.037495,         0.037495,          0.06856,          0.09207
   26,     2,          0.01699,          0.01699,         0.042257,         0.061977
   26,     3,          0.15107,          0.15107,          0.13319,          0.18481
   26,     4,        0.0089927,        0.0089927,         0.033073,         0.045089
   26,     5,          0.20775,          0.20775,          0.16707,          0.21672
   27,     1,         0.014357,         0.014357,         0.042599,         0.056972
   27,     2,         0.032566,         0.032566,          0.06202,         0.085805
   27,     3,         0.013658,         0.013658,         0.039335,         0.055568
   27,     4,           0.1492,           0.1492,           0.1278,          0.18366
   27,     5,          0.17154,          0.17154,          0.15513,          0.19693
   28,     1,          0.15993,          0.15993,          0.15119,          0.19015
   28,     2,         0.026934,         0.026934,         0.056465,         0.078033
   28,     3,          0.16524,          0.16524,          0.13582,          0.19328
   28,     4,         0.026025,         0.026025,         0.066518,         0.076705
   28,     5,         0.028464,         0.028464,         0.068043,         0.080219
   29,     1,          0.13465,          0.13465,          0.12441,          0.17448
   29,     2,         0.026164,         0.026164,         0.058516,          0.07691
   29,     3,          0.16949,          0.16949,          0.15687,          0.19575
   29,     4,         0.034026,         0.034026,         0.060457,         0.087707
   29,     5,         0.015832,         0.015832,          0.04436,         0.059827
   30,     1,          0.10623,          0.10623,            0.111,          0.15497
   30,     2,         0.032349,         0.032349,         0.063719,         0.085519
   30,     3,         0.015648,         0.015648,         0.047301,         0.059479
   30,     4,         0.015029,         0.015029,         0.046254,          0.05829
   30,     5,          0.16046,          0.16046,          0.15446,          0.19047
   31,     1,           0.1123,           0.1123,          0.11114,          0.15934
   31,     2,         0.022725,         0.022725,         0.051225,         0.071678
   31,     3,         0.018381,         0.018381,         0.047821,         0.064464
   31,     4,          0.12315,          0.12315,          0.13898,          0.16686
   31,     5,          0.01872,          0.01872,         0.054444,         0.065056
   32,     1,         0.017699,         0.017699,         0.054348,         0.063256
   32,     2,         0.092347,         0.092347,          0.11945,          0.14449
   32,     3,          0.17506,          0.17506,          0.14207,          0.19894
   32,     4,           0.0313,           0.0313,         0.058098,          0.08412
   32,     5,         0.025085,         0.025085,         0.053294,         0.075308
   33,     1,         0.015878,         0.015878,         0.046273,         0.059915
