epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
       153,  921.043,    0.005,        0.0003562,       1.4077e-06,       0.00035761,        0.436,        0.578,        0.326,        0.563,        0.444,        0.421,        0.717,        0.569,        0.476,       0.0318,       0.00072109,        1.582e-07,       0.00072124,        0.564,        0.822,        0.369,        0.786,        0.578,        0.565,         1.04,        0.803,        0.135,        0.009
       154,  928.042,    0.005,        0.0003383,       9.2407e-07,       0.00033922,        0.422,        0.563,        0.318,        0.541,        0.429,        0.416,        0.695,        0.555,         0.39,        0.026,        0.0007163,       1.5534e-07,       0.00071646,        0.562,         0.82,        0.368,        0.784,        0.576,        0.563,         1.04,          0.8,        0.134,      0.00894
       155,  934.919,    0.005,       0.00038583,       1.1185e-06,       0.00038695,        0.452,        0.601,        0.337,        0.583,         0.46,        0.436,        0.747,        0.591,        0.385,       0.0257,       0.00071397,       1.5441e-07,       0.00071413,        0.561,        0.818,        0.367,        0.783,        0.575,        0.562,         1.04,        0.799,        0.133,      0.00889
       156,  941.424,    0.005,       0.00035859,       5.5287e-07,       0.00035914,         0.44,         0.58,        0.322,        0.574,        0.448,        0.413,        0.725,        0.569,        0.275,       0.0183,       0.00071157,        1.529e-07,       0.00071172,        0.559,        0.817,        0.365,        0.781,        0.573,        0.561,         1.03,        0.798,        0.133,      0.00884
       157,  947.804,    0.005,       0.00041223,       9.0914e-07,       0.00041314,        0.466,        0.622,        0.347,        0.602,        0.475,        0.449,        0.773,        0.611,        0.356,       0.0237,       0.00070741,       1.5224e-07,       0.00070757,        0.558,        0.814,        0.365,        0.779,        0.572,        0.559,         1.03,        0.795,        0.133,      0.00884
       158,  953.822,    0.005,       0.00043973,       1.7051e-06,       0.00044144,        0.473,        0.642,        0.335,        0.631,        0.483,        0.432,        0.819,        0.625,        0.472,       0.0315,       0.00070415,       1.5187e-07,        0.0007043,        0.556,        0.813,        0.363,        0.777,         0.57,        0.558,         1.03,        0.793,        0.132,      0.00882
       159,  960.673,    0.005,       0.00034362,       8.4621e-07,       0.00034447,        0.426,        0.568,        0.308,        0.561,        0.435,        0.396,        0.715,        0.556,        0.357,       0.0238,       0.00070025,        1.501e-07,        0.0007004,        0.555,         0.81,        0.362,        0.775,        0.569,        0.555,         1.03,        0.791,        0.132,      0.00877
       160,  967.220,    0.005,       0.00030121,       9.3467e-07,       0.00030215,        0.399,        0.531,        0.297,        0.514,        0.406,        0.384,        0.661,        0.522,        0.377,       0.0251,       0.00069624,       1.4851e-07,       0.00069639,        0.553,        0.808,        0.361,        0.773,        0.567,        0.554,         1.02,        0.789,         0.13,       0.0087
       161,  973.169,    0.005,       0.00045317,       4.8879e-06,       0.00045806,        0.477,        0.652,        0.355,        0.618,        0.486,        0.453,        0.822,        0.638,          0.8,       0.0533,       0.00069463,       1.5029e-07,       0.00069478,        0.552,        0.807,         0.36,        0.772,        0.566,        0.554,         1.02,        0.788,        0.132,      0.00882
       162,  979.360,    0.005,       0.00037573,       2.1942e-06,       0.00037793,        0.448,        0.594,        0.353,        0.557,        0.455,        0.453,        0.721,        0.587,        0.589,       0.0393,       0.00069043,        1.492e-07,       0.00069058,        0.551,        0.805,        0.359,        0.771,        0.565,        0.551,         1.02,        0.786,        0.132,      0.00882
       163,  985.576,    0.005,       0.00031003,       9.1051e-07,       0.00031094,        0.409,        0.539,        0.309,        0.523,        0.416,        0.395,        0.667,        0.531,        0.368,       0.0245,       0.00068876,       1.4757e-07,        0.0006889,         0.55,        0.804,        0.358,         0.77,        0.564,        0.551,         1.02,        0.785,        0.131,      0.00871
       164,  992.059,    0.005,       0.00035816,        7.003e-07,       0.00035886,        0.438,         0.58,        0.327,        0.565,        0.446,        0.424,        0.717,         0.57,        0.314,       0.0209,       0.00068677,       1.4517e-07,       0.00068691,        0.549,        0.802,        0.357,        0.769,        0.563,         0.55,         1.02,        0.783,        0.129,      0.00863
       165,  998.783,    0.005,       0.00035214,        1.538e-06,       0.00035368,        0.431,        0.575,        0.315,        0.564,         0.44,        0.401,        0.723,        0.562,        0.434,       0.0289,       0.00068554,       1.4417e-07,       0.00068568,        0.548,        0.802,        0.356,        0.768,        0.562,        0.548,         1.02,        0.782,         0.13,      0.00868
       166, 1005.009,    0.005,       0.00032884,       6.7159e-07,       0.00032951,        0.421,        0.555,         0.32,        0.536,        0.428,        0.412,        0.683,        0.548,        0.312,       0.0208,       0.00068377,       1.4399e-07,       0.00068391,        0.548,        0.801,        0.356,        0.767,        0.561,        0.547,         1.02,        0.781,        0.129,      0.00862
       167, 1011.300,    0.005,       0.00030497,       1.5304e-06,        0.0003065,        0.411,        0.535,        0.324,         0.51,        0.417,        0.415,        0.645,         0.53,         0.46,       0.0307,       0.00068284,       1.4578e-07,       0.00068299,        0.547,          0.8,        0.355,        0.766,         0.56,        0.546,         1.02,        0.781,         0.13,      0.00869
       168, 1017.432,    0.005,       0.00036616,       8.3395e-07,       0.00036699,        0.437,        0.586,        0.323,        0.568,        0.446,         0.42,        0.731,        0.575,        0.329,       0.0219,       0.00068278,       1.4403e-07,       0.00068292,        0.546,          0.8,        0.354,        0.765,         0.56,        0.546,         1.02,        0.781,        0.129,      0.00859
       169, 1023.535,    0.005,       0.00036837,       9.5242e-07,       0.00036932,        0.447,        0.588,        0.338,        0.571,        0.455,        0.434,        0.724,        0.579,        0.363,       0.0242,       0.00068016,       1.4265e-07,        0.0006803,        0.545,        0.799,        0.353,        0.764,        0.559,        0.544,         1.01,        0.779,        0.128,      0.00856
       170, 1030.311,    0.005,       0.00031298,       1.0506e-06,       0.00031403,        0.404,        0.542,          0.3,        0.524,        0.412,         0.39,        0.674,        0.532,        0.371,       0.0247,       0.00067664,       1.4393e-07,       0.00067679,        0.543,        0.797,        0.352,        0.762,        0.557,        0.542,         1.01,        0.777,        0.128,      0.00856
       171, 1037.036,    0.005,       0.00036074,       2.7083e-06,       0.00036345,        0.436,        0.582,        0.319,        0.571,        0.445,         0.41,         0.73,         0.57,        0.617,       0.0411,       0.00067402,       1.4582e-07,       0.00067417,        0.542,        0.795,        0.351,         0.76,        0.555,        0.539,         1.01,        0.775,         0.13,      0.00869
       172, 1043.842,    0.005,       0.00035234,       1.2869e-06,       0.00035362,        0.434,        0.575,        0.318,        0.567,        0.443,         0.41,        0.718,        0.564,        0.403,       0.0269,       0.00067081,       1.4197e-07,       0.00067095,         0.54,        0.793,         0.35,        0.758,        0.554,        0.538,         1.01,        0.773,        0.129,      0.00858
       173, 1050.579,    0.005,       0.00034667,       5.3117e-07,        0.0003472,        0.427,         0.57,        0.308,        0.562,        0.435,        0.395,         0.72,        0.557,        0.274,       0.0182,       0.00066972,       1.4403e-07,       0.00066987,         0.54,        0.792,        0.349,        0.758,        0.554,        0.538,         1.01,        0.773,         0.13,      0.00865
       174, 1057.591,    0.005,        0.0003003,       1.2801e-06,       0.00030158,          0.4,        0.531,        0.309,        0.504,        0.406,        0.397,        0.651,        0.524,        0.438,       0.0292,       0.00066719,       1.4015e-07,       0.00066733,        0.539,        0.791,        0.348,        0.757,        0.553,        0.537,         1.01,        0.771,        0.127,      0.00849
       175, 1064.005,    0.005,       0.00027818,       8.4705e-07,       0.00027902,        0.387,        0.511,        0.295,        0.493,        0.394,        0.383,        0.625,        0.504,        0.326,       0.0217,       0.00066528,       1.3932e-07,       0.00066542,        0.538,         0.79,        0.347,        0.756,        0.552,        0.536,            1,         0.77,        0.127,       0.0085
       176, 1070.372,    0.005,       0.00028275,       3.8756e-07,       0.00028314,        0.387,        0.515,         0.29,        0.497,        0.394,        0.381,        0.634,        0.508,        0.221,       0.0147,        0.0006635,       1.3837e-07,       0.00066363,        0.537,        0.789,        0.347,        0.754,        0.551,        0.535,            1,        0.769,        0.127,      0.00846
       177, 1077.123,    0.005,       0.00030997,       7.1683e-07,       0.00031069,        0.405,        0.539,          0.3,        0.525,        0.413,        0.381,        0.676,        0.528,        0.327,       0.0218,       0.00066104,       1.3673e-07,       0.00066118,        0.535,        0.787,        0.346,        0.752,        0.549,        0.533,            1,        0.767,        0.126,      0.00841
       178, 1083.011,    0.005,       0.00040072,       1.6986e-06,       0.00040242,        0.461,        0.613,         0.33,         0.61,         0.47,        0.422,        0.775,        0.599,        0.474,       0.0316,       0.00065675,       1.3591e-07,       0.00065689,        0.534,        0.785,        0.345,        0.749,        0.547,        0.531,        0.998,        0.765,        0.126,      0.00842
       179, 1089.403,    0.005,       0.00036461,       1.1079e-06,       0.00036572,        0.442,        0.585,        0.321,         0.58,         0.45,        0.407,        0.737,        0.572,        0.405,        0.027,       0.00065404,       1.3498e-07,       0.00065418,        0.533,        0.783,        0.344,        0.748,        0.546,         0.53,        0.997,        0.763,        0.126,      0.00841
       180, 1095.731,    0.005,       0.00044144,       2.9203e-06,       0.00044436,        0.481,        0.643,        0.348,        0.633,        0.491,         0.45,        0.809,         0.63,        0.684,       0.0456,       0.00065294,       1.3328e-07,       0.00065308,        0.532,        0.782,        0.344,        0.747,        0.545,         0.53,        0.996,        0.763,        0.124,      0.00827
       181, 1102.382,    0.005,       0.00039786,       9.8091e-07,       0.00039885,        0.454,        0.611,        0.322,        0.605,        0.463,        0.417,        0.775,        0.596,        0.342,       0.0228,       0.00064946,       1.3198e-07,        0.0006496,        0.531,         0.78,        0.343,        0.746,        0.544,        0.529,        0.992,        0.761,        0.124,      0.00825
       182, 1108.774,    0.005,       0.00033561,       2.3882e-06,         0.000338,        0.422,        0.561,        0.316,        0.543,        0.429,        0.406,        0.697,        0.552,         0.58,       0.0387,       0.00064684,       1.3079e-07,       0.00064697,         0.53,        0.779,        0.343,        0.745,        0.544,        0.529,         0.99,        0.759,        0.123,      0.00821
       183, 1115.405,    0.005,       0.00031524,       1.6598e-06,        0.0003169,        0.403,        0.544,        0.295,        0.527,        0.411,         0.38,        0.684,        0.532,        0.482,       0.0321,       0.00064421,       1.3075e-07,       0.00064434,        0.529,        0.777,        0.342,        0.743,        0.543,        0.527,        0.988,        0.758,        0.123,       0.0082
       184, 1122.274,    0.005,       0.00042733,       9.4041e-07,       0.00042827,        0.471,        0.633,        0.342,        0.617,         0.48,        0.451,        0.792,        0.621,        0.381,       0.0254,       0.00064259,       1.2971e-07,       0.00064272,        0.529,        0.776,        0.342,        0.743,        0.542,        0.527,        0.987,        0.757,        0.123,       0.0082
       185, 1128.503,    0.005,       0.00033297,       1.5939e-06,       0.00033456,        0.418,        0.559,        0.298,        0.554,        0.426,        0.383,        0.708,        0.546,        0.494,       0.0329,       0.00063879,       1.2664e-07,       0.00063892,        0.527,        0.774,        0.341,        0.741,        0.541,        0.526,        0.983,        0.755,        0.122,       0.0081
       186, 1135.230,    0.005,       0.00028434,        1.667e-06,       0.00028601,        0.384,        0.516,        0.276,        0.507,        0.391,        0.358,        0.652,        0.505,        0.525,        0.035,       0.00063789,       1.2617e-07,       0.00063802,        0.527,        0.773,         0.34,         0.74,         0.54,        0.525,        0.983,        0.754,        0.121,      0.00805
       187, 1141.374,    0.005,       0.00029676,       1.8632e-06,       0.00029862,        0.403,        0.527,          0.3,         0.52,         0.41,        0.381,        0.656,        0.518,        0.508,       0.0339,       0.00063652,       1.2542e-07,       0.00063664,        0.526,        0.773,         0.34,        0.739,         0.54,        0.524,        0.982,        0.753,        0.121,      0.00806
       188, 1147.457,    0.005,       0.00029874,       1.0447e-06,       0.00029979,        0.398,        0.529,        0.298,        0.513,        0.405,        0.386,        0.655,        0.521,        0.389,       0.0259,       0.00063511,       1.2506e-07,       0.00063524,        0.525,        0.772,        0.339,        0.737,        0.538,        0.523,        0.981,        0.752,         0.12,      0.00801
       189, 1153.051,    0.005,       0.00029017,       1.1627e-06,       0.00029134,        0.388,        0.522,        0.283,        0.509,        0.396,        0.366,        0.656,        0.511,        0.421,       0.0281,        0.0006324,       1.2604e-07,       0.00063253,        0.523,         0.77,        0.338,        0.735,        0.536,        0.522,         0.98,        0.751,        0.121,      0.00807
       190, 1159.275,    0.005,       0.00029482,       2.1484e-06,       0.00029697,        0.406,        0.526,        0.327,        0.496,        0.412,        0.415,        0.629,        0.522,        0.567,       0.0378,       0.00062975,        1.259e-07,       0.00062987,        0.522,        0.768,        0.337,        0.733,        0.535,        0.521,        0.977,        0.749,         0.12,      0.00801
       191, 1165.671,    0.005,       0.00034477,       1.1209e-06,       0.00034589,        0.421,        0.569,          0.3,        0.559,         0.43,        0.391,         0.72,        0.555,        0.411,       0.0274,       0.00062703,       1.2549e-07,       0.00062715,        0.521,        0.767,        0.336,        0.733,        0.535,        0.519,        0.976,        0.747,         0.12,      0.00799
       192, 1172.108,    0.005,        0.0003146,        8.489e-07,       0.00031545,        0.408,        0.543,        0.303,        0.528,        0.415,        0.386,         0.68,        0.533,        0.349,       0.0233,       0.00062538,       1.2375e-07,       0.00062551,         0.52,        0.766,        0.335,        0.731,        0.533,        0.517,        0.975,        0.746,        0.119,      0.00795
       193, 1178.545,    0.005,       0.00032908,       1.6623e-06,       0.00033074,        0.416,        0.555,        0.295,        0.554,        0.424,        0.378,        0.706,        0.542,        0.509,       0.0339,       0.00062297,        1.249e-07,        0.0006231,        0.519,        0.764,        0.334,         0.73,        0.532,        0.515,        0.974,        0.745,         0.12,      0.00798
       194, 1184.741,    0.005,       0.00029319,       4.3234e-07,       0.00029363,        0.397,        0.524,         0.29,        0.519,        0.405,        0.371,        0.657,        0.514,        0.239,        0.016,          0.00062,       1.2415e-07,       0.00062013,        0.518,        0.762,        0.334,        0.729,        0.531,        0.513,        0.972,        0.743,        0.119,      0.00797
       195, 1191.170,    0.005,       0.00025054,       5.0967e-07,       0.00025105,        0.365,        0.485,        0.272,        0.473,        0.372,        0.347,        0.605,        0.476,         0.26,       0.0173,       0.00061804,       1.2379e-07,       0.00061816,        0.517,        0.761,        0.333,        0.727,         0.53,        0.512,        0.971,        0.741,        0.119,      0.00796
       196, 1197.504,    0.005,       0.00026308,       1.7449e-06,       0.00026482,        0.375,        0.497,        0.274,        0.489,        0.382,        0.352,        0.622,        0.487,        0.503,       0.0336,       0.00061644,        1.224e-07,       0.00061656,        0.516,         0.76,        0.332,        0.726,        0.529,        0.512,        0.969,         0.74,        0.119,      0.00791
       197, 1203.568,    0.005,       0.00030327,       1.6053e-06,       0.00030488,        0.405,        0.533,        0.303,        0.521,        0.412,        0.382,        0.665,        0.524,        0.467,       0.0311,       0.00061398,       1.2086e-07,        0.0006141,        0.515,        0.759,        0.332,        0.724,        0.528,         0.51,        0.968,        0.739,        0.118,      0.00784
       198, 1209.598,    0.005,         0.000273,       1.4411e-06,       0.00027444,        0.379,        0.506,         0.28,        0.493,        0.386,        0.359,        0.633,        0.496,        0.467,       0.0311,       0.00061257,       1.2148e-07,       0.00061269,        0.515,        0.758,        0.331,        0.724,        0.528,        0.509,        0.967,        0.738,        0.119,      0.00791
       199, 1215.409,    0.005,        0.0002459,       6.5331e-07,       0.00024655,        0.363,         0.48,        0.269,         0.47,        0.369,        0.347,        0.597,        0.472,        0.319,       0.0213,       0.00061011,       1.1764e-07,       0.00061023,        0.514,        0.756,         0.33,        0.723,        0.527,        0.508,        0.965,        0.736,        0.117,      0.00778
       200, 1221.572,    0.005,       0.00025462,       6.6497e-07,       0.00025528,        0.366,        0.489,        0.264,        0.482,        0.373,        0.341,        0.615,        0.478,        0.315,        0.021,       0.00060679,        1.167e-07,       0.00060691,        0.512,        0.754,         0.33,        0.721,        0.525,        0.506,        0.962,        0.734,        0.116,      0.00775
       201, 1227.320,    0.005,       0.00022599,        1.362e-06,       0.00022735,        0.352,         0.46,        0.267,        0.449,        0.358,        0.343,        0.566,        0.454,        0.467,       0.0311,       0.00060537,       1.1668e-07,       0.00060549,        0.512,        0.753,        0.329,         0.72,        0.525,        0.506,        0.961,        0.733,        0.117,      0.00778
       202, 1233.560,    0.005,       0.00025759,       7.1032e-07,        0.0002583,        0.367,        0.491,        0.264,        0.483,        0.374,        0.346,        0.617,        0.482,        0.316,       0.0211,       0.00060258,       1.1444e-07,        0.0006027,        0.511,        0.752,        0.329,         0.72,        0.524,        0.505,        0.959,        0.732,        0.116,       0.0077
       203, 1241.638,    0.005,       0.00030937,       1.2582e-06,       0.00031063,        0.401,        0.539,        0.285,        0.533,        0.409,        0.368,        0.683,        0.526,         0.42,        0.028,       0.00060102,       1.1471e-07,       0.00060114,        0.511,        0.751,        0.329,        0.719,        0.524,        0.504,        0.958,        0.731,        0.115,      0.00768
       204, 1247.617,    0.005,       0.00028013,       1.1481e-06,       0.00028128,        0.384,        0.513,        0.276,        0.508,        0.392,        0.355,        0.647,        0.501,        0.411,       0.0274,       0.00059948,       1.1475e-07,        0.0005996,         0.51,         0.75,        0.328,        0.718,        0.523,        0.503,        0.957,         0.73,        0.115,      0.00769
       205, 1253.657,    0.005,       0.00025004,       5.1856e-07,       0.00025056,        0.362,        0.484,        0.267,        0.471,        0.369,        0.347,        0.604,        0.476,        0.265,       0.0177,       0.00059659,       1.1238e-07,        0.0005967,        0.509,        0.748,        0.328,        0.715,        0.521,        0.503,        0.954,        0.728,        0.114,      0.00762
       206, 1259.151,    0.005,       0.00028929,       1.2475e-06,       0.00029054,        0.396,        0.521,        0.296,        0.509,        0.403,        0.382,        0.644,        0.513,        0.432,       0.0288,       0.00059516,        1.109e-07,       0.00059527,        0.508,        0.747,        0.327,        0.715,        0.521,        0.502,        0.953,        0.727,        0.113,      0.00755
       207, 1264.702,    0.005,        0.0002629,       3.1308e-06,       0.00026603,        0.378,        0.496,        0.272,        0.499,        0.385,        0.348,        0.624,        0.486,        0.722,       0.0481,       0.00059313,       1.1441e-07,       0.00059325,        0.507,        0.746,        0.326,        0.713,         0.52,        0.501,        0.951,        0.726,        0.116,      0.00772
       208, 1270.307,    0.005,       0.00024083,       1.6619e-06,       0.00024249,        0.359,        0.475,        0.261,        0.472,        0.366,        0.332,        0.598,        0.465,        0.497,       0.0331,       0.00059068,       1.1156e-07,       0.00059079,        0.506,        0.744,        0.326,        0.712,        0.519,          0.5,        0.949,        0.725,        0.114,      0.00762
       209, 1275.750,    0.005,       0.00022822,       1.0972e-06,       0.00022932,        0.348,        0.463,         0.26,         0.45,        0.355,        0.334,        0.575,        0.455,        0.418,       0.0279,       0.00058839,       1.1018e-07,        0.0005885,        0.505,        0.743,        0.325,         0.71,        0.518,          0.5,        0.947,        0.723,        0.113,      0.00752
       210, 1281.388,    0.005,        0.0002782,       2.1543e-06,       0.00028035,        0.386,        0.511,        0.287,        0.499,        0.393,        0.365,        0.638,        0.501,        0.532,       0.0355,        0.0005871,       1.1022e-07,       0.00058721,        0.505,        0.742,        0.325,         0.71,        0.518,        0.499,        0.946,        0.722,        0.114,      0.00757
       211, 1287.199,    0.005,       0.00023406,       3.3197e-07,       0.00023439,        0.352,        0.468,         0.26,        0.458,        0.359,        0.335,        0.585,         0.46,        0.224,       0.0149,       0.00058611,       1.0744e-07,       0.00058622,        0.504,        0.741,        0.325,        0.709,        0.517,        0.498,        0.946,        0.722,        0.112,      0.00748
       212, 1292.817,    0.005,       0.00025587,       7.4398e-07,       0.00025661,        0.371,         0.49,        0.275,         0.48,        0.378,        0.352,         0.61,        0.481,        0.321,       0.0214,       0.00058633,       1.0712e-07,       0.00058643,        0.504,        0.741,        0.325,         0.71,        0.517,        0.497,        0.947,        0.722,        0.112,      0.00746
       213, 1298.109,    0.005,        0.0002323,       8.8926e-07,       0.00023319,        0.351,        0.467,        0.264,        0.449,        0.357,        0.344,        0.576,         0.46,        0.374,       0.0249,       0.00058558,       1.0847e-07,       0.00058569,        0.504,        0.741,        0.324,        0.709,        0.516,        0.496,        0.946,        0.721,        0.113,      0.00752
       214, 1304.513,    0.005,       0.00023791,       1.6386e-06,       0.00023955,        0.359,        0.472,        0.273,        0.457,        0.365,         0.35,        0.581,        0.466,        0.493,       0.0329,       0.00058585,       1.0869e-07,       0.00058596,        0.504,        0.741,        0.324,        0.709,        0.516,        0.496,        0.947,        0.721,        0.112,      0.00748
       215, 1311.215,    0.005,        0.0002838,       1.7508e-06,       0.00028555,        0.391,        0.516,        0.301,        0.493,        0.397,        0.385,        0.633,        0.509,        0.482,       0.0321,       0.00058268,       1.0868e-07,       0.00058279,        0.502,        0.739,        0.323,        0.707,        0.515,        0.494,        0.944,        0.719,        0.112,      0.00748
       216, 1317.491,    0.005,        0.0002885,       1.8097e-06,       0.00029031,        0.391,         0.52,        0.292,        0.504,        0.398,        0.373,        0.649,        0.511,        0.506,       0.0337,        0.0005827,       1.0843e-07,       0.00058281,        0.502,        0.739,        0.323,        0.707,        0.515,        0.494,        0.944,        0.719,        0.113,      0.00752
       217, 1324.395,    0.005,       0.00030567,       9.0584e-07,       0.00030658,        0.401,        0.535,        0.288,        0.531,        0.409,        0.368,        0.678,        0.523,        0.358,       0.0239,       0.00058054,         1.09e-07,       0.00058065,        0.501,        0.738,        0.322,        0.706,        0.514,        0.494,        0.942,        0.718,        0.113,      0.00753
       218, 1331.287,    0.005,       0.00026723,       1.1468e-06,       0.00026838,        0.381,        0.501,        0.287,        0.487,        0.387,        0.368,        0.618,        0.493,        0.425,       0.0283,       0.00057771,       1.0672e-07,       0.00057782,          0.5,        0.736,        0.322,        0.703,        0.513,        0.493,         0.94,        0.716,        0.112,      0.00746
       219, 1337.954,    0.005,       0.00028914,       1.0213e-06,       0.00029016,        0.395,        0.521,         0.29,        0.515,        0.402,        0.375,        0.648,        0.512,         0.35,       0.0233,       0.00057737,       1.0526e-07,       0.00057747,          0.5,        0.736,        0.322,        0.704,        0.513,        0.493,         0.94,        0.716,        0.111,      0.00742
       220, 1344.699,    0.005,       0.00029133,        8.944e-07,       0.00029222,        0.393,        0.523,        0.286,        0.515,          0.4,        0.368,        0.656,        0.512,        0.338,       0.0226,       0.00057459,       1.0553e-07,        0.0005747,        0.499,        0.734,        0.322,        0.701,        0.511,        0.492,        0.937,        0.714,        0.112,      0.00744
       221, 1351.596,    0.005,        0.0002372,       7.1412e-07,       0.00023792,        0.358,        0.472,        0.269,         0.46,        0.364,        0.345,        0.583,        0.464,         0.31,       0.0207,       0.00057347,       1.0678e-07,       0.00057358,        0.498,        0.733,        0.321,          0.7,         0.51,        0.491,        0.936,        0.714,        0.112,      0.00746
       222, 1358.131,    0.005,       0.00029863,       1.3725e-06,           0.0003,        0.402,        0.529,        0.309,        0.509,        0.409,          0.4,        0.646,        0.523,        0.434,       0.0289,       0.00057193,       1.0558e-07,       0.00057203,        0.497,        0.732,         0.32,        0.699,         0.51,         0.49,        0.935,        0.713,        0.111,      0.00738
       223, 1365.093,    0.005,       0.00032334,       4.8391e-07,       0.00032383,        0.417,        0.551,         0.31,        0.538,        0.424,        0.399,        0.684,        0.541,        0.246,       0.0164,       0.00057044,       1.0675e-07,       0.00057054,        0.497,        0.731,         0.32,          0.7,         0.51,        0.488,        0.935,        0.711,        0.112,      0.00743
       224, 1371.876,    0.005,       0.00026107,       1.1665e-06,       0.00026224,        0.378,        0.495,        0.293,        0.475,        0.384,         0.38,          0.6,         0.49,        0.427,       0.0284,       0.00056856,       1.0595e-07,       0.00056867,        0.496,         0.73,        0.319,        0.698,        0.509,        0.486,        0.934,         0.71,        0.112,      0.00744
       225, 1378.553,    0.005,       0.00023267,       6.4466e-07,       0.00023332,        0.352,        0.467,        0.265,        0.452,        0.359,        0.345,        0.575,         0.46,        0.286,       0.0191,       0.00056712,       1.0565e-07,       0.00056723,        0.495,        0.729,        0.319,        0.698,        0.508,        0.486,        0.933,        0.709,        0.111,       0.0074
       226, 1385.465,    0.005,       0.00022504,       2.5643e-07,        0.0002253,        0.347,        0.459,        0.249,        0.458,        0.354,        0.323,        0.577,         0.45,        0.184,       0.0123,       0.00056668,       1.0586e-07,       0.00056678,        0.495,        0.729,        0.318,        0.697,        0.507,        0.485,        0.933,        0.709,        0.111,      0.00739
       227, 1392.063,    0.005,       0.00024065,       1.3821e-06,       0.00024203,        0.352,        0.475,        0.253,        0.466,        0.359,        0.327,        0.601,        0.464,        0.473,       0.0316,        0.0005645,       1.0733e-07,        0.0005646,        0.494,        0.728,        0.318,        0.696,        0.507,        0.484,        0.931,        0.707,        0.112,      0.00749
       228, 1398.298,    0.005,       0.00023168,       9.7828e-07,       0.00023266,        0.355,        0.466,        0.262,        0.461,        0.362,        0.336,         0.58,        0.458,        0.394,       0.0262,       0.00056097,       1.0422e-07,       0.00056107,        0.493,        0.725,        0.317,        0.694,        0.506,        0.483,        0.928,        0.705,         0.11,      0.00733
       229, 1404.745,    0.005,       0.00022126,       5.3342e-07,        0.0002218,        0.343,        0.455,        0.258,        0.441,        0.349,        0.329,        0.566,        0.448,        0.251,       0.0167,        0.0005593,       1.0472e-07,       0.00055941,        0.492,        0.724,        0.317,        0.693,        0.505,        0.482,        0.926,        0.704,         0.11,      0.00734
       230, 1411.119,    0.005,       0.00022991,       1.3506e-06,       0.00023126,        0.354,        0.464,        0.276,        0.444,         0.36,        0.356,        0.563,         0.46,        0.426,       0.0284,        0.0005582,       1.0439e-07,        0.0005583,        0.492,        0.723,        0.316,        0.693,        0.504,        0.481,        0.926,        0.703,         0.11,      0.00735
       231, 1418.580,    0.005,       0.00021872,       4.9712e-07,       0.00021921,        0.341,        0.453,        0.248,        0.448,        0.348,        0.321,        0.567,        0.444,        0.217,       0.0144,       0.00055631,       1.0368e-07,       0.00055641,        0.491,        0.722,        0.316,        0.692,        0.504,        0.481,        0.924,        0.702,         0.11,       0.0073
       232, 1425.737,    0.005,         0.000222,       5.9822e-07,        0.0002226,        0.348,        0.456,        0.263,        0.445,        0.354,        0.338,        0.562,         0.45,        0.298,       0.0199,       0.00055598,       1.0399e-07,       0.00055608,        0.491,        0.722,        0.316,        0.692,        0.504,        0.481,        0.924,        0.702,         0.11,       0.0073
       233, 1431.540,    0.005,       0.00026946,       9.6557e-07,       0.00027043,        0.375,        0.503,        0.262,        0.504,        0.383,        0.339,         0.64,         0.49,        0.371,       0.0248,       0.00055429,       1.0426e-07,       0.00055439,         0.49,        0.721,        0.315,         0.69,        0.503,         0.48,        0.922,        0.701,         0.11,      0.00732
       234, 1437.211,    0.005,       0.00040933,       1.3489e-06,       0.00041068,        0.463,         0.62,        0.328,        0.617,        0.472,        0.419,        0.789,        0.604,        0.441,       0.0294,       0.00055446,       1.0211e-07,       0.00055456,         0.49,        0.721,        0.314,         0.69,        0.502,        0.479,        0.923,        0.701,        0.108,       0.0072
       235, 1442.860,    0.005,       0.00037339,       1.3671e-06,       0.00037476,        0.441,        0.592,        0.302,          0.6,        0.451,        0.383,        0.763,        0.573,        0.472,       0.0315,       0.00055477,       1.0334e-07,       0.00055487,        0.489,        0.721,        0.313,         0.69,        0.501,        0.478,        0.924,        0.701,        0.108,      0.00722
       236, 1448.902,    0.005,       0.00029668,       1.6673e-06,       0.00029835,        0.397,        0.527,        0.288,        0.523,        0.405,        0.367,        0.665,        0.516,        0.484,       0.0323,       0.00055504,       1.0354e-07,       0.00055514,        0.489,        0.721,        0.313,        0.689,        0.501,        0.479,        0.924,        0.701,        0.109,      0.00728
       237, 1455.555,    0.005,       0.00021047,       8.6572e-07,       0.00021133,        0.334,        0.444,        0.245,        0.436,         0.34,        0.313,        0.557,        0.435,        0.354,       0.0236,       0.00055376,       1.0317e-07,       0.00055387,        0.488,        0.721,        0.313,        0.688,        0.501,        0.479,        0.922,        0.701,        0.109,      0.00727
